mean,total,p_0,p_10,p_20,p_30,p_40,p_50,p_60,p_70,p_80,p_90,p_99,p_99.9,p_100,freq%,rate,seed,bits,unique_lba_count
3.8101821240664435,2622498,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,9.0,24.0,27.0,33.0,65,0.2,42,0,1269393
2.586018612338052,2033060,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,6.0,13.0,16.0,20.0,49,0.2,42,1,691906
1.7490480509527526,1991178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,7.0,9.0,12.0,39,0.2,42,2,380224
1.3593076716332002,1261309,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,6.0,7.0,22,0.2,42,3,225512
1.1112016648960168,1236834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,10,0.2,42,4,145532
1.0398504714840144,784332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4,0.2,42,5,105489
1.0102352948651963,786885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2,0.2,42,6,86516
1.0000132556903365,754393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,0.2,42,7,79812
1.0,650339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.2,42,8,72263
1.0,869186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.2,42,9,70909
1.0,502050,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.2,42,10,68860
1.0,544023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.2,42,11,69843
