mean,total,p_0,p_10,p_20,p_30,p_40,p_50,p_60,p_70,p_80,p_90,p_99,p_99.9,p_100,freq%,rate,seed,bits,unique_lba_count
2.6704024151145798,2147807,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,7.0,15.0,18.0,24.0,45,0.1,42,0,710316
1.9844951932387733,1549068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,9.0,12.0,14.0,40,0.1,42,1,385193
1.3954395347253197,1365387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,7.0,10.0,23,0.1,42,2,209381
1.2375326436828147,740955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,6.0,18,0.1,42,3,122575
1.0943630253534011,515986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,9,0.1,42,4,77592
1.0197352434949885,395080,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2,0.1,42,5,54889
1.005692753154132,346054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1,0.1,42,6,45113
1.0,361976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.1,42,7,40965
1.0,290034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.1,42,8,37975
1.0,278027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.1,42,9,37516
1.0,288934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.1,42,10,34879
1.0,255208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.1,42,11,34956
