mean,total,p_0,p_10,p_20,p_30,p_40,p_50,p_60,p_70,p_80,p_90,p_99,p_99.9,p_100,freq%,rate,seed,bits,unique_lba_count
1.553011897720605,424367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,17.0,26.0,37.0,18,0.01,42,0,114542
1.3061459071378396,328853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,15.0,20.0,13,0.01,42,1,57635
1.2555634720916835,131932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,9.0,16.0,11,0.01,42,2,29097
1.1783516805491607,71673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,10.0,10,0.01,42,3,14749
1.0594934866458046,54964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,5,0.01,42,4,9461
1.0185003915426782,40864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,2,0.01,42,5,6799
1.0066649127422609,34209,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1,0.01,42,6,5396
1.0030453417550191,26598,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1,0.01,42,7,4750
1.0005918827508455,35480,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,0.01,42,8,4496
1.0,23732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.01,42,9,4393
1.0,39132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.01,42,10,4246
1.0,7329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.01,42,11,3325
