mean,total,p_0,p_10,p_20,p_30,p_40,p_50,p_60,p_70,p_80,p_90,p_99,p_99.9,p_100,freq%,rate,seed,bits,unique_lba_count
2.151903294441062,1593290,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,18.0,102.0,132.0,31,0.05,42,0,548567
1.7862617040762954,967398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,15.0,54.0,69.0,25,0.05,42,1,276961
1.5587915225766367,537569,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,16.0,30.0,41.0,19,0.05,42,2,139517
1.37674959624702,312072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0,17.0,24.0,13,0.05,42,3,71726
1.1851490040622041,265127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,10.0,15.0,9,0.05,42,4,46418
1.0801545244933457,197768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,10.0,5,0.05,42,5,34499
1.026704217134458,178249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,7.0,2,0.05,42,6,27533
1.0088880021624682,155378,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1,0.05,42,7,24517
1.0016886435885377,176473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1,0.05,42,8,23204
1.0004393475126172,177536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1,0.05,42,9,22400
1.000006499288328,153863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,0.05,42,10,22601
1.0,135560,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.05,42,11,23391
