mean,total,p_0,p_10,p_20,p_30,p_40,p_50,p_60,p_70,p_80,p_90,p_99,p_99.9,p_100,freq%,rate,seed,bits,unique_lba_count
4.767305253476593,3429291,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,8.0,27.0,425.0,472.0,86,0.7,42,0,2629981
2.6691470014848395,3391612,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,14.0,213.0,244.0,48,0.7,42,1,1426676
1.7108120111802811,3109403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,106.0,130.0,19,0.7,42,2,823139
1.3473995055193164,2684028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,54.0,67.0,13,0.7,42,3,522945
1.158212881448143,2588032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,28.0,38.0,7,0.7,42,4,411755
1.0656756161714889,2398196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,14.0,22.0,3,0.7,42,5,356569
1.0238220500199886,2548941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,13.0,1,0.7,42,6,329116
1.0099792742643376,2567822,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,1,0.7,42,7,316228
1.0038583413076372,2510146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1,0.7,42,8,308699
1.0013784063021436,2398422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1,0.7,42,9,301087
1.0003063803376584,2281478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,0.7,42,10,301501
1.0,2582473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.7,42,11,302523
