mean,total,p_0,p_10,p_20,p_30,p_40,p_50,p_60,p_70,p_80,p_90,p_99,p_99.9,p_100,freq%,rate,seed,bits,unique_lba_count
4.5780330549299215,3264687,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,8.0,28.0,426.0,476.0,72,0.3,42,0,2457153
2.7792726483286474,2772964,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,18.0,215.0,248.0,43,0.3,42,1,1252743
1.9920758375039451,1951752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,15.0,110.0,129.0,24,0.3,42,2,650879
1.5266611799925682,1528552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,56.0,68.0,16,0.3,42,3,350319
1.2746192855954341,1220009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,29.0,38.0,10,0.3,42,4,239327
1.1294878179776378,1024050,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,16.0,21.0,5,0.3,42,5,184421
1.0484916685291659,1024609,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,12.0,2,0.3,42,6,155852
1.0187484431319234,999603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,1,0.3,42,7,141981
1.0067010690485385,973576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1,0.3,42,8,134209
1.00172138979791,980603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1,0.3,42,9,132557
1.000217585394606,978926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,0.3,42,10,130393
1.0,1010597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.3,42,11,133560
